Timestamp                       Thread     Type        Activity             PID    TTL  
2021-02-08 19:26:25.156360+0800 0x74       Default     0x0                  0      0    kernel: IOPMrootDomain PMTellAppWithResponse - Suspended kIOMessageCanSystemSleep, pid 606, MBS MEM WidgetEx
2021-02-08 19:26:25.156382+0800 0x74       Default     0x0                  0      0    kernel: PMRD: trace point 0x11 msgType 0xe0000270 detail 0x00007530
2021-02-08 19:26:25.156438+0800 0x74       Default     0x0                  0      0    kernel: PMRD: askChangeDownDone(0x40c2, 0) type 1, cap 9->0
2021-02-08 19:26:25.156440+0800 0x74       Default     0x0                  0      0    kernel: PMRD: tellChangeDown ON_STATE->SLEEP_STATE
2021-02-08 19:26:25.156441+0800 0x74       Default     0x0                  0      0    kernel: PMRD: trace point 0x11
2021-02-08 19:26:25.156442+0800 0x74       Default     0x0                  0      0    kernel: PMRD: tellChangeDown::userActivityAtSleep 0
2021-02-08 19:26:25.156448+0800 0x74       Default     0x0                  0      0    kernel: IOConsoleUsers: gIOScreenLockState 3, hs 0, bs 0, now 0, sm 0xe0000280
2021-02-08 19:26:25.156483+0800 0x74       Default     0x0                  0      0    kernel: IOPMrootDomain PMTellAppWithResponse - Suspended kIOMessageSystemWillSleep, pid 614, MBS CPU WidgetEx
2021-02-08 19:26:25.156486+0800 0x74       Default     0x0                  0      0    kernel: IOPMrootDomain PMTellAppWithResponse - Suspended kIOMessageSystemWillSleep, pid 606, MBS MEM WidgetEx
2021-02-08 19:26:25.156489+0800 0x19c      Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMRM: _logPolicy: SAVING: ver=8 smTm=0 poRsn=0 gpTm=0 smExp=NO gpBlk=NO suTm=0 svTm=1612783580 gpRsn=0 cMs=NO.
2021-02-08 19:26:25.156494+0800 0x19c      Default     0x0                  0      0    kernel: (AppleCredentialManager) ACMRM-S: setData: saving policy (len=41) in 3 seconds.
2021-02-08 19:26:25.156506+0800 0x74       Default     0x0                  0      0    kernel: PMRD: trace point 0x11 msgType 0xe0000280 detail 0x00007530
2021-02-08 19:26:25.156928+0800 0x1cb      Debug       0x0                  0      0    kernel: (IOHIDFamily) IOHIDLibUserClient:0x100000600 setStateForQueues: 0x0
2021-02-08 19:26:25.157332+0800 0x2f9      Default     0x0                  0      0    kernel: (AppleRTC) RTC: getGMTTimeOfDay 1612783585
2021-02-08 19:26:25.367479+0800 0x190f     Default     0x0                  0      0    kernel: process lghub[753] caught waking the CPU 45001 times over ~22 seconds, averaging 1973 wakes / second and violating a limit of 45000 wakes over 300 seconds.
2021-02-08 19:26:27.885336+0800 0x2f9      Default     0x0                  0      0    kernel: PMRD: MaintenanceWakeCalendarDate 2021/02/13 17:15:43
